Year,Date,Experiment,Plot,Species,Mass(g),Mass g/m^2)
2007,09/18/07,E244,43,Andropogon gerardi,3.51,35.1
2007,09/18/07,E244,43,Aristida basiramea,0.01,0.1
2007,09/18/07,E244,43,Sorghastrum nutans,0.14,1.4
2007,09/19/07,E244,44,Andropogon gerardi,1.86,18.6
2007,09/19/07,E244,44,Aristida basiramea,0.04,0.4
2007,09/19/07,E244,44,Cyperus sp.,0.12,1.2
2007,09/19/07,E244,45,Achillea millefolium(lanulosa),0.03,0.3
2007,09/19/07,E244,45,Andropogon gerardi,0.86,8.6
2007,09/19/07,E244,45,Schizachyrium scoparium,0.06,0.6
2007,10/05/07,E244,46,Leptoloma cognatum,0.58,5.8
2007,10/05/07,E244,46,Lupinus perennis,2.87,28.7
2007,10/05/07,E244,46,Panicum virgatum,6.07,60.7
2007,10/05/07,E244,46,Poa pratensis,1.89,18.9
2007,10/05/07,E244,46,Schizachyrium scoparium,0.35,3.5
2007,10/05/07,E244,46,Sorghastrum nutans,2.14,21.4
2007,10/03/07,E244,47,Agropyron repens,1.02,10.2
2007,10/03/07,E244,47,Andropogon gerardi,0.62,6.2
2007,10/03/07,E244,47,Lespedeza capitata,0.64,6.4
2007,10/03/07,E244,47,Lupinus perennis,5.12,51.2
2007,10/03/07,E244,47,Panicum virgatum,2.44,24.4
2007,10/03/07,E244,47,Poa pratensis,2.12,21.2
2007,10/03/07,E244,47,Schizachyrium scoparium,1.55,15.5
2007,10/03/07,E244,47,Sorghastrum nutans,6.83,68.3
2007,10/02/07,E244,48,Andropogon gerardi,2.19,21.9
2007,10/02/07,E244,48,Lespedeza capitata,0.21,2.1
2007,10/02/07,E244,48,Lupinus perennis,2.98,29.8
2007,10/02/07,E244,48,Panicum virgatum,6.14,61.4
2007,10/02/07,E244,48,Poa pratensis,2.29,22.9
2007,10/02/07,E244,48,Schizachyrium scoparium,0.7,7
2007,10/02/07,E244,48,Sorghastrum nutans,6.33,63.3
2007,10/05/07,E244,49,Agropyron repens,0.29,2.9
2007,10/05/07,E244,49,Lespedeza capitata,6.67,66.7
2007,10/05/07,E244,49,Lupinus perennis,3.78,37.8
2007,10/05/07,E244,49,Panicum oligosanthes,0.2,2
2007,10/05/07,E244,49,Panicum virgatum,2.73,27.3
2007,10/05/07,E244,49,Poa pratensis,2,20
2007,10/05/07,E244,49,Sorghastrum nutans,0.87,8.7
2007,09/21/07,E244,50,Agropyron repens,0.07,0.7
2007,09/21/07,E244,50,Andropogon gerardi,1.36,13.6
2007,09/21/07,E244,50,Bouteloua gracilis,0.01,0.1
2007,09/21/07,E244,50,Lespedeza capitata,2.49,24.9
2007,09/21/07,E244,50,Lupinus perennis,2.6,26
2007,09/21/07,E244,50,Miscellaneous litter,0.11,1.1
2007,09/21/07,E244,50,Panicum oligosanthes,0.13,1.3
2007,09/21/07,E244,50,Panicum virgatum,3.42,34.2
2007,09/21/07,E244,50,Poa pratensis,2.39,23.9
2007,09/21/07,E244,50,Sorghastrum nutans,7.13,71.3
2007,10/16/07,E244,51,Agropyron repens,1.64,16.4
2007,10/16/07,E244,51,Amorpha canescens,59.96,599.6
2007,10/16/07,E244,51,Aristida basiramea,0.29,2.9
2007,10/16/07,E244,51,Crepis tectorum,0.07,0.7
2007,10/16/07,E244,51,Oxybaphus hirsutus,0.06,0.6
2007,10/16/07,E244,51,Poa pratensis,2.16,21.6
2007,10/16/07,E244,51,Rumex acetosella,0.28,2.8
2007,10/16/07,E244,51,Schizachyrium scoparium,4.24,42.4
2007,10/16/07,E244,52,Achillea millefolium(lanulosa),0.59,5.9
2007,10/16/07,E244,52,Agropyron repens,1.13,11.3
2007,10/16/07,E244,52,Amorpha canescens,58.76,587.6
2007,10/16/07,E244,52,Anemone cylindrica,0.3,3
2007,10/16/07,E244,52,Aristida basiramea,0.88,8.8
2007,10/16/07,E244,52,Chenopodium leptophyllum,0.01,0.1
2007,10/16/07,E244,52,Hedeoma hispida,0.06,0.6
2007,10/16/07,E244,52,Oxybaphus hirsutus,0.05,0.5
2007,10/16/07,E244,52,Physalis virginiana,0.55,5.5
2007,10/16/07,E244,52,Poa pratensis,1.55,15.5
2007,10/16/07,E244,52,Polygonum convolvulus,0.2,2
2007,10/16/07,E244,52,Rumex acetosella,1.26,12.6
2007,09/21/07,E244,53,Agropyron repens,0.54,5.4
2007,09/21/07,E244,53,Amorpha canescens,65.91,659.1
2007,09/21/07,E244,53,Aristida basiramea,1.11,11.1
2007,09/21/07,E244,53,Crepis tectorum,0.32,3.2
2007,09/21/07,E244,53,Euphorbia glyptosperma,0.11,1.1
2007,09/21/07,E244,53,Hedeoma hispida,0.2,2
2007,09/21/07,E244,53,Helianthus laetiflorus,0.11,1.1
2007,09/21/07,E244,53,Lepidium densiflorum,0.01,0.1
2007,09/21/07,E244,53,Liatris aspera,0.05,0.5
2007,09/21/07,E244,53,Poa pratensis,3.51,35.1
2007,09/21/07,E244,53,Rumex acetosella,0.61,6.1
2007,10/05/07,E244,54,Agropyron repens,3.72,37.2
2007,10/05/07,E244,54,Ambrosia artemisiifolia elatior,0.16,1.6
2007,10/05/07,E244,54,Amorpha canescens,34.81,348.1
2007,10/05/07,E244,54,Aristida basiramea,0.64,6.4
2007,10/05/07,E244,54,Asclepias tuberosa,2.26,22.6
2007,10/05/07,E244,54,Liatris aspera,0.12,1.2
